Year,L_T,L_C,L_S,L_I,S_demo,coverage_count
2000,0.26,0.400910311893747,NaN,NaN,0.33045515594687347,2
2001,0.35333333333333333,0.4129234442620503,NaN,NaN,0.38312838879769184,2
2002,0.42,0.4288165945381285,NaN,NaN,0.42440829726906426,2
2003,0.41333333333333333,0.4476943739740338,NaN,NaN,0.43051385365368355,2
2004,0.35333333333333333,0.4605282793612892,NaN,NaN,0.40693080634731127,2
2005,0.45333333333333337,0.4775406655723027,NaN,NaN,0.465436999452818,2
2006,0.4266666666666667,0.49328458439038925,NaN,NaN,0.459975625528528,2
2007,0.4466666666666667,0.507685420086554,NaN,NaN,0.47717604337661035,2
2008,0.36000000000000004,0.5211908670347708,NaN,NaN,0.4405954335173854,2
2009,0.44,0.5346963139829874,NaN,NaN,0.4873481569914937,2
2010,0.48666666666666664,0.5530517833159231,NaN,NaN,0.5198592249912949,2
2011,0.4066666666666667,0.5661095358901658,NaN,NaN,0.48638810127841625,2
2012,0.43333333333333335,0.5825996119982092,NaN,NaN,0.5079664726657713,2
2013,0.45333333333333337,0.6025966273690494,NaN,NaN,0.5279649803511914,2
2014,0.5,0.6180420832711535,NaN,NaN,0.5590210416355768,2
2015,0.6,0.6344575436502013,NaN,NaN,0.6172287718251006,2
2016,0.6733333333333333,0.6598268915087302,NaN,NaN,0.6665801124210318,2
2017,0.6133333333333334,0.6773615878227129,NaN,NaN,0.6453474605780232,2
2018,0.5666666666666667,0.6919862707058649,NaN,NaN,0.6293264686862658,2
2019,0.6533333333333333,0.7138486793015966,NaN,NaN,0.6835910063174649,2
2020,0.6733333333333333,0.7329503059244887,NaN,NaN,0.703141819628911,2
2021,0.5666666666666667,0.7493657663035369,NaN,NaN,0.6580162164851018,2
2022,0.5933333333333334,0.7651843008506191,NaN,NaN,0.6792588170919762,2
2023,0.7799999999999999,0.7842113117445156,NaN,NaN,0.7821056558722578,2
2024,0.8533333333333334,0.8105506640799881,NaN,NaN,0.8319419987066607,2
